zip,lat,lng
01040,42.21166,-72.64245
01867,42.53518,-71.10542
02138,42.37964,-71.13515
06340,41.35441,-72.04027
06854,41.09090,-73.42879
07080,40.57441,-74.41480
07202,40.65246,-74.21685
07410,40.93583,-74.11750
07652,40.94730,-74.07017
08854,40.53966,-74.46279
10001,40.75065,-73.99730
11225,40.66312,-73.95387
11520,40.64940,-73.58295
12047,42.78405,-73.72622
12203,42.68290,-73.84936
14207,42.95193,-78.89888
20602,38.58325,-76.89470
20877,39.14060,-77.19206
20901,39.02150,-77.00978
21045,39.20604,-76.82823
21204,39.40639,-76.62607
21211,39.32875,-76.63928
21214,39.35214,-76.56433
22030,38.83718,-77.34048
22312,38.81753,-77.15387
23233,37.64381,-77.62940
23238,37.59251,-77.64169
23462,36.83624,-76.14595
23669,37.05071,-76.33927
23701,36.81197,-76.36938
23704,36.82670,-76.31203
27101,36.11085,-80.20043
27406,35.99795,-79.76673
27701,35.99924,-78.89794
28314,35.05321,-79.01547
28403,34.22169,-77.88063
28562,35.08098,-77.12503
30012,33.71781,-84.00252
30046,33.94970,-83.99345
30067,33.93428,-84.46219
30076,34.02858,-84.31137
30122,33.76691,-84.64136
30263,33.38842,-84.85894
30274,33.55726,-84.40051
30312,33.74462,-84.37581
30315,33.70274,-84.38285
32202,30.32462,-81.64723
32244,30.21710,-81.75260
32246,30.29101,-81.51209
32819,28.45370,-81.47237
33487,26.41179,-80.08901
33613,28.08369,-82.44787
33701,27.77079,-82.63281
34997,27.05048,-80.27120
37174,35.71925,-86.89819
38116,35.03234,-90.00892
39157,32.42538,-90.16559
43215,39.96686,-83.01296
44113,41.48324,-81.69717
44224,41.17626,-81.43652
45246,39.29021,-84.46383
45414,39.83939,-84.21072
46321,41.54751,-87.50327
47713,37.94853,-87.55547
48075,42.46178,-83.22994
48083,42.55701,-83.11677
48377,42.50537,-83.47358
53005,43.06240,-88.09880
60173,42.05156,-88.05552
60201,42.05474,-87.69238
60451,41.50816,-87.96098
60608,41.84688,-87.67066
63119,38.59005,-90.34987
66048,39.27272,-94.98041
68508,40.81806,-96.70550
70816,30.42689,-91.02783
72201,34.74703,-92.28094
72712,36.39839,-94.22235
73139,35.38638,-97.52569
75077,33.08118,-97.06092
75244,32.92537,-96.83633
76010,32.72271,-97.08066
76110,32.70783,-97.33827
77036,29.69905,-95.53651
77379,30.03946,-95.53438
78415,27.65898,-97.49515
78613,30.50708,-97.81946
78626,30.65789,-97.61784
78741,30.22968,-97.71369
80909,38.85257,-104.77433
80915,38.84984,-104.71697
80919,38.92796,-104.88024
85210,33.38973,-111.84350
85213,33.44841,-111.76620
85251,33.49449,-111.92071
85745,32.24898,-111.06133
87108,35.07234,-106.57832
89014,36.06155,-115.05767
89128,36.19678,-115.26441
89149,36.27080,-115.29462
90024,34.06565,-118.43528
90278,33.87360,-118.37026
91101,34.14677,-118.13892
91106,34.13940,-118.12866
91362,34.19243,-118.81949
92025,33.07781,-117.03313
92114,32.70775,-117.05530
92262,33.86296,-116.55668
92501,33.99652,-117.37418
92562,33.53124,-117.34400
92604,33.69069,-117.78914
92683,33.75243,-117.99387
93117,34.47945,-120.08409
93703,36.76886,-119.76241
94085,37.38860,-122.01770
94103,37.77298,-122.41134
94122,37.76046,-122.48389
94597,37.91770,-122.07182
95035,37.43580,-121.89500
95050,37.35410,-121.95190
95051,37.34820,-121.98440
95054,37.39290,-121.96240
95110,37.33820,-121.89970
95112,37.34460,-121.88344
95113,37.33370,-121.89070
95126,37.32390,-121.91660
95128,37.31590,-121.93140
95210,38.03179,-121.29789
95307,37.55581,-120.95385
95618,38.54302,-121.69054
95678,38.76535,-121.28847
95826,38.54385,-121.37828
96734,21.39508,-157.75819
97202,45.48201,-122.64445
98004,47.61834,-122.20534
98104,47.60046,-122.33223
98685,45.71521,-122.69316
